rat_id,condition,mpg,adp,succ,rot,fccp,tail_length_i,tail_length_f,tail_length_percentage_change,coupling_efficiency,c1_flux_control,reverse_electron_flow,uncoupling_control_ratio,c1_coupling_efficiency,c2_coupling_efficiency,convergent_pathway_integration
MH-001-A,H,NA,NA,NA,NA,NA,155.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
MH-002-A,H,NA,NA,NA,NA,NA,136.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
MH-003-A,H,NA,NA,NA,NA,NA,142.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
FH-007-C,H,NA,NA,NA,NA,NA,103.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
FH-008-C,H,NA,NA,NA,NA,NA,119.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
FH-009-C,H,NA,NA,NA,NA,NA,105.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
MH-013-E,H,NA,NA,NA,NA,NA,144.36,247,0.711000277,NA,NA,NA,NA,NA,NA,NA
MH-014-E,H,10.2169,26.966,45.39,37.6854,32.4932,141.43,266.5,0.8843244007636285,0.7749085701696409,0.16974223397224053,0.4059043842256003,0.8622225052672918,0.6211191871245272,0.728889702643464,0.702072963617184
MH-015-E,H,1.304,1.8967,3.5564,1.7782,1.1855,151.91,251.5,0.655585544,0.6333370824429199,0.5,0.4666797885502193,0.666685412214599,0.31249011440923713,0.2666741648858396,0.9677542246047511
FH-016-F,H,15.2851,23.3224,32.2886,25.3697,22.2214,111.9,221.5,0.9794459338695264,0.5266100109636218,0.2142830596557299,0.27768933927144573,0.8759031443020611,0.34461719205570607,0.39750568591666446,0.6631178363635991
FH-017-F,H,NA,NA,NA,NA,NA,109.57,232.5,1.1219311855434884,NA,NA,NA,NA,NA,NA,NA
FH-018-F,H,10.432,46.7069,59.0357,36.512,29.7549,109.1,NA,NA,0.823293363168388,0.38152677108935773,0.20883634817576485,0.8149348159509202,0.776649702720583,0.7142857142857143,0.709402551583835
MC-004-B,C,NA,NA,NA,NA,NA,142.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
MC-005-B,C,NA,NA,NA,NA,NA,131.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
MC-006-B,C,NA,NA,NA,NA,NA,140.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-010-D,C,NA,NA,NA,NA,NA,107.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-011-D,C,NA,NA,NA,NA,NA,108.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-012-D,C,NA,NA,NA,NA,NA,108.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
MC-019-G,C,2.2584,2.49605,16.81935,19.2725,9.988,139.22,217.5,0.5622755351242638,0.8657260833504268,-0.1458528421133991,0.8515965242414243,0.5182513944739914,0.09521043248332361,0.8828174860552601,0.7726444802249116
MC-020-G,C,NA,NA,NA,NA,NA,138.25,223,0.6130198915009042,NA,NA,NA,NA,NA,NA,NA
MC-021-G,C,2.1338,2.2524,3.0822,1.8375,3.6749,146.63,NA,NA,0.30770229057166953,0.40383492310687175,0.26922328207124774,1.9999455782312927,0.0526549458355533,-0.16125170068027206,0.7536125577642484
FC-022-H,C,NA,NA,NA,NA,NA,107.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-023-H,C,NA,NA,NA,NA,NA,113.41,198,NA,NA,NA,NA,NA,NA,NA,NA
FC-024-H,C,NA,NA,NA,NA,NA,111.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT-025-I,RT,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT-026-I,RT,NA,NA,NA,NA,NA,111.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT-027-I,RT,NA,NA,NA,NA,NA,105.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRT-028-J,RT,NA,NA,NA,NA,NA,125.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRT-029-J,RT,NA,NA,NA,NA,NA,126.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRT-030-J,RT,NA,NA,NA,NA,NA,128.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
