rat_id,condition,date,lean_mass,mass,fat_percentage,lean_percentage,...8,mass1,mass2,mass_change_percentage
FH-008,H,4 wks,0.4,0.5,0.2,0.8,NA,0.5,0.7,0.3999999999999999
FH-009,H,4 wks,0.3,0.4,0.23,0.7499999999999999,NA,0.4,0.6,0.4999999999999999
MH-003,H,4 wks,0.6,0.9,0.24,0.6666666666666666,NA,0.9,1.4,0.5555555555555555
FC-010,C,4 wks,0.4,0.5,0.16,0.8,NA,0.5,0.6,0.19999999999999996
FC-011,C,4 wks,0.4,0.5,0.16,0.8,NA,0.5,0.6,0.19999999999999996
FC-012,C,4 wks,0.4,0.5,0.18,0.8,NA,0.5,0.7,0.3999999999999999
MC-004,C,4 wks,0.7,0.8,0.16,0.8749999999999999,NA,0.8,1.2,0.4999999999999999
MC-005,C,4 wks,0.6,0.7,0.18,0.8571428571428572,NA,0.7,1,0.42857142857142866
MC-006,C,4 wks,0.7,0.9,0.19,0.7777777777777777,NA,0.9,1.3,0.4444444444444445
FH-008,H,12 wks,0.5,0.7,0.245,0.7142857142857143,NA,NA,NA,NA
FH-009,H,12 wks,0.4,0.6,0.236,0.6666666666666667,NA,NA,NA,NA
MH-003,H,12 wks,1.1,1.4,0.163,0.7857142857142858,NA,NA,NA,NA
FC-010,C,12 wks,0.5,0.6,0.1515,0.8333333333333334,NA,NA,NA,NA
FC-011,C,12 wks,0.5,0.6,0.1605,0.8333333333333334,NA,NA,NA,NA
FC-012,C,12 wks,0.5,0.7,0.149,0.7142857142857143,NA,NA,NA,NA
MC-004,C,12 wks,1,1.2,0.17,0.8333333333333334,NA,NA,NA,NA
MC-005,C,12 wks,0.8,1,0.1905,0.8,NA,NA,NA,NA
MC-006,C,12 wks,1,1.3,0.1875,0.7692307692307692,NA,NA,NA,NA
